accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2022-05-26,15:21:21,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-25,07:29:29,S1,ปกติ,1,0,0,0,ยางแตกเสียหลักชนขอบทาง
2022-05-25,22:29:29,ฉลองรัช,ฝนตก,0,3,0,0,ขับรถเร็วเกินไป
2022-05-25,11:12:12,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-25,15:12:12,เฉลิมมหานคร,ปกติ,1,0,0,0,โรคประจำตัว
2022-05-24,18:45:45,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-23,12:26:26,ศรีรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-23,12:50:50,บูรพาวิถี,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-23,11:33:33,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-05-22,00:30:30,S1,ปกติ,0,0,0,0,หลับใน
2022-05-22,10:06:06,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-22,19:56:56,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-22,23:39:39,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-22,18:56:56,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-21,02:19:19,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-21,16:18:18,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-21,13:28:28,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-21,16:49:49,บูรพาวิถี,ปกติ,1,1,0,0,หลับใน
